topic_id,count,palabras,perfil_macro
0,165,actualizar versión actualización actualizo cómo actualizar actualizada app aplicación cómo actualizo 31,Problemas de app
1,144,negocio negocios simple personal meses 60 meses meses personal 60 000 meses solicitar,Solicitud de productos
2,136,préstamo préstamo personal prestamo 12 meses personal 12 meses prestamos interesa 1000,Crédito personal
3,134,débito debito débito venció débito cómo adicional reconocido débito venció solicitar nueva reposición cómo reponer,Solicitud de productos
4,124,cancelar garantizada cancelar garantía garantía garantizada cancelo cancelo garantía garantía cancelar garantizada cancelar cancelar garantizada cómo,Tarjeta garantizada
5,122,sat qr link pago pagos captura pago aclaración pago link cobranza diferidos,MSI / pagos diferidos
6,122,aumento aumentar línea cómo aumentar aumentar línea linea incremento aumenta línea cómo aumento límite,Aumento de línea
7,119,parámetros agregar wallet ticket rechaza wallet uber descontó pago dinero hice límite transaccional,Pagos digitales (wallet)
8,117,factura liquide auto liquidar automotriz original contrato financiado termine carta,Contrato / carátula
9,115,reembolso rembolso ve reflejado ve reflejado dinero ha aún ve paypal liga dinero,Disputas y aclaraciones
10,115,token token cómo token token movil encuentro token token dónde cuál token cómo cuál dónde encuentro activar,Activación
11,113,apple pay apple pay verificar pay cómo cómo verificar verifico cómo verifico wallet usar apple,Pagos digitales (wallet)
12,111,garantizada garantía garantizada aparece tradicional garantia garantizada cómo solicitarla opción aparece opción solicitar,Solicitud de productos
13,108,dice token token token incorrecto incorrecto token correcto correcto transferencia dice transferir dice dice incorrecto token,Transferencias
14,98,depositar efectivo depositar efectivo depositar dinero depósitos depósito bbva sucursales depositos dinero efectivo,Depósitos en efectivo
15,97,cancelar cómo cancelo cómo cancelar cancelar cancelar cancelo cancelo cancelar cómo cancelo cancelar cancelar doy baja abrir,Eliminar / dar de baja
16,96,cancelar aclaración tdc cancelar tdc garantía cancelar cargo aclaración cancelo cancelarla cancelar cobro cancele,Tarjeta garantizada
17,95,invitación auto requisitos requisitos auto aplicar comprar auto carro seminuevo agencia cumplo,Crédito auto
18,94,comprobante domicilio comprobante domicilio subir validar foto documentos subirlo luz deja,Validación / onboarding
19,89,enganche vehículo 2026 cotización auto 000 financiar valor año seminuevos,Crédito auto
20,89,seguro póliza póliza seguro seguros protección renovación básica beneficiarios básico documentación,Beneficiarios
21,87,transferir deuda deuda transferencia deuda transferir deudas verse reflejado traspaso verse bancos veo opción,Transferencias
22,87,notificaciones llegan activar correos cómo activar revise correo app cómo recepción configuración,Activación
23,87,compras diferir diferir compra compra msi reconocida compra línea comprar línea internet bodega,MSI / pagos diferidos
24,87,número número numero teléfono numero teléfono telefono telefonica soporte número llamar comunicarme,Atención humana
25,85,100 pesos recompensa validar valide bono referido pasaron an mil pesos,Referidos / bonos
26,84,número atención numero atencion atención número atención cuál atención atencion atención numero cuál número atencion número número,Atención humana
27,84,cerca heybanco referidos rfc registrarme dimo puntos disculpa punto ase,Referidos / bonos
28,83,digital física pagar oxxo cómo pagar pagar depositar oxxo depositar terminal pagar física digital cómo,Reposición de plástico
29,82,codi código codigo seguridad encuentro referir dimo código seguridad activo dónde está,Activación
30,80,asesor hablar representante representante hablar comunicarme asesor hablar asesor llamar asesor teléfono hablar llamada asistente,Atención humana
31,80,solicitar física física física física fisica física solicitar física cómo cómo solicitar fisica cómo solicitar sucursal,Solicitud de productos
32,80,inversión inversiones invertir 28 rendimiento fondos fondo pro millones soy,Problemas de app
33,79,pesos mil pesos 000 pesos pesos meses mil préstamo 000 mil meses 12 meses 24 meses,Crédito personal
